AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
0,1015499;anonymous;308;0,001411444;0,04719783;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9291;12,02128;-591,8736
0,1015499;anonymous;309;0,0002963208;-0,2616577;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9434;12,02158;-592,1353
0,1015499;anonymous;310;0,0009754087;-0,5212708;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9589;12,02255;-592,6565
0,1015499;anonymous;311;0,001186539;-0,2607117;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9850;12,02374;-592,9172
0,1015499;anonymous;312;0,001005405;0,0714456;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9991;12,02474;-592,8458
0,1015499;anonymous;313;0,0006203077;0,437853;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.0139;12,02536;-592,4079
0,1015499;anonymous;314;0,0001061031;0,5217375;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.0282;12,02547;-591,8862
0,1015499;anonymous;315;0,0006283655;0,3146407;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.0417;12,0261;-591,5715
0,1015499;anonymous;316;0,0004523368;0,1211357;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.0581;12,02655;-591,4504
0,1015499;anonymous;317;0,001088267;-0,3370972;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.0832;12,02764;-591,7875
0,1015499;anonymous;318;8,626139E-05;-0,2600098;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.0980;12,02772;-592,0475
0,1015499;anonymous;319;0,0001878112;-0,09997559;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.1119;12,02791;-592,1475
0,1015499;anonymous;320;0,0007265841;0,2181601;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.1252;12,02864;-591,9293
0,1015499;anonymous;321;0,0008713166;0,4102292;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.1425;12,02951;-591,5191
0,1015499;anonymous;322;0,0004943623;0,3298774;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.1671;12,03;-591,1892
0,1015499;anonymous;323;0,0001760554;0,2999046;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.1808;12,03018;-590,8893
0,1015499;anonymous;324;0,0001248626;0,2867819;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.1949;12,0303;-590,6025
0,1015499;anonymous;325;0,0003721377;0,3230387;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.2094;12,03068;-590,2794
0,1015499;anonymous;326;0,002247021;0,5302759;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.2370;12,03292;-589,7491
0,1015499;anonymous;327;0,001224;0,463449;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.2504;12,03415;-589,2857
0,1015499;anonymous;328;0,0003357909;0,440984;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.2642;12,03448;-588,8447
0,1015499;anonymous;329;0,0001212404;0,4938954;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.2780;12,0346;-588,3508
0,1015499;anonymous;330;1,491511E-05;0,5652036;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.2913;12,03462;-587,7856
