AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SewuenceID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
0,08592564;anonymous;1266;0,0003131117;0,6277776;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.3390;12,36862;-1133,223
0,08592564;anonymous;1267;0,0004492251;0,3890424;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.3524;12,36907;-1132,834
0,08592564;anonymous;1268;0,0003016564;0,2877398;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.3662;12,36937;-1132,546
0,08592564;anonymous;1269;0,0001781632;0,3123996;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.3803;12,36955;-1132,234
0,08592564;anonymous;1270;0,00014452;0,3647006;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.3962;12,3697;-1131,869
0,08592564;anonymous;1271;0,0002914852;0,4315337;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.4212;12,36999;-1131,437
0,08592564;anonymous;1272;0,0001294365;0,4187711;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.4365;12,37012;-1131,018
0,08592564;anonymous;1273;0,0003589409;0,2862547;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.4498;12,37048;-1130,732
0,08592564;anonymous;1274;0,0003212021;0,1226852;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.4637;12,3708;-1130,609
0,08592564;anonymous;1275;0,000141561;0,08635318;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.4797;12,37094;-1130,523
0,08592564;anonymous;1276;7,730794E-05;0,1747171;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.5053;12,37102;-1130,349
0,08592564;anonymous;1277;0,0001511043;0,2285077;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.5188;12,37117;-1130,12
0,08592564;anonymous;1278;9,313812E-05;0,2297014;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.5336;12,37126;-1129,89
0,08592564;anonymous;1279;0,0001358846;0,2008061;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.5474;12,3714;-1129,689
0,08592564;anonymous;1280;0,0001578274;0,1296055;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.5622;12,37155;-1129,56
0,08592564;anonymous;1281;0,0002794252;0,08544128;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.5893;12,37183;-1129,474
0,08592564;anonymous;1282;0,000143585;0,1132425;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6026;12,37198;-1129,361
0,08592564;anonymous;1283;0,0001670633;0,150373;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6175;12,37214;-1129,211
0,08592564;anonymous;1284;0,0001371512;0,1577755;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6312;12,37228;-1129,053
0,08592564;anonymous;1285;0,0001599095;0,1213404;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6460;12,37244;-1128,932
0,08592564;anonymous;1286;0,0002411184;0,03908002;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6723;12,37268;-1128,893
0,08592564;anonymous;1287;0,0001484992;-0,009063721;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6861;12,37283;-1128,902
0,08592564;anonymous;1288;0,0001820929;-0,03109741;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.6994;12,37301;-1128,933
0,08592564;anonymous;1289;0,0002594748;-0,06286621;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.7143;12,37327;-1128,996
0,08592564;anonymous;1290;0,000209703;-0,0947876;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.7287;12,37348;-1129,09
0,08592564;anonymous;1291;0,0007533276;-0,5582886;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.7573;12,37424;-1129,649
0,08592564;anonymous;1292;0,0003977943;-0,9727783;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.7700;12,37463;-1130,621
0,08592564;anonymous;1293;0,0003241285;-1,220093;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.7824;12,37496;-1131,842
0,08592564;anonymous;1294;0,0006577653;-1,697479;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.7968;12,37562;-1133,539
-0,3165554;anonymous;1295;0,001014125;-2,848999;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.8123;12,37663;-1136,388
-0,3828362;anonymous;1296;0,001212979;-3,445526;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.8385;12,37784;-1139,834
-0,3904453;anonymous;1297;0,0008611536;-3,514008;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.8523;12,37871;-1143,348
